Operateur;x;y;2G;3G;4G
20820;48.39293951129786;-4.480342429809908;1;1;1
20801;48.39327976719916;-4.479821051574647;0;0;0
20820;48.401101526511034;-4.480462077746736;1;1;1
20801;48.41596684883545;-4.4806154664419715;1;1;1
20801;48.39547795482256;-4.475357977762598;1;1;1
20801;48.40891280625612;-4.47712473700292;1;1;1
20810;48.385556339416354;-4.47162356827737;1;1;1
20810;48.39045721400664;-4.4722947855146735;1;1;1
20801;48.39057234187876;-4.472189073393097;1;1;1
20820;48.38562367835035;-4.47141608321524;1;1;1
20810;48.413693219803605;-4.474983185087118;1;1;1
20810;48.39796680328046;-4.4727273038439;1;1;1
20810;48.39433855678042;-4.471938780911213;1;1;1
20820;48.429120752018484;-4.476532433733671;1;0;0
20801;48.281376738963566;-4.454697560990374;1;1;0
20815;48.41383730793778;-4.472560272069294;0;1;1
20810;48.382949512208526;-4.467399201999227;1;0;0
20815;48.45698286323744;-4.477793294481893;0;1;1
20820;48.45698711659087;-4.477725971789708;1;1;1
20801;48.05781060782606;-4.420772214192695;1;1;0
20801;48.457417353202544;-4.477352654594118;1;1;1
20810;48.40373392595046;-4.468269869279071;1;1;1
20815;48.40374373195544;-4.468257694230066;0;1;1
20801;48.40387167010386;-4.468235205086474;1;1;1
20801;48.44757092214646;-4.473719202462348;1;1;1
20801;48.60663214420327;-4.495683640452805;1;1;1
20810;48.60660144119555;-4.495597481610601;1;1;0
20820;48.403065623825576;-4.464971689593405;1;1;1
20810;48.40307542949691;-4.464959514084037;0;1;0
20820;48.39626472262663;-4.462619192900067;1;1;1
20815;48.39641180469096;-4.4624365768229906;0;1;1
20810;48.39553372347341;-4.4611717261144195;1;1;1
20801;48.39558190132225;-4.46112430278376;1;1;1
20820;48.4149831413471;-4.463574096686689;1;1;1
20810;48.40748108914602;-4.462451588005387;1;1;1
20801;48.415067445698924;-4.463097404485389;0;1;0
20815;48.40687378661004;-4.461048566538257;0;1;1
20810;48.42890003232505;-4.46285442128704;1;1;1
20801;48.41980782256295;-4.459292378709943;1;1;1
20810;48.42190163526747;-4.458762253444319;1;1;1
20801;48.40598427837041;-4.456239436021041;1;1;1
20820;48.42928542599357;-4.45831975745676;1;1;1
20801;48.42930032165364;-4.458226828074671;1;1;0
20815;48.4300481231387;-4.457545711774786;0;1;1
20820;48.40066801346234;-4.448969201166766;1;1;1
20801;48.392537927592855;-4.447773472036583;1;1;1
20810;48.39235153206437;-4.447719858032937;1;1;1
20815;48.391976441677045;-4.447218811519321;0;1;1
20801;48.40124717823189;-4.447952233656386;1;1;1
20810;48.40048041474984;-4.4460655097481085;1;1;1
20815;48.400473999442774;-4.446023885865385;0;1;1
20801;47.805667892770856;-4.360857539755797;1;1;1
20810;48.4570013394886;-4.4519964798204965;1;1;1
20801;48.457052902363806;-4.451895132681867;1;1;0
20801;48.42851365986899;-4.442594957720661;0;1;0
20801;47.824363774875636;-4.356365911844487;1;1;1
20820;48.35455581711445;-4.429975923503393;1;1;1
20820;47.9931533091088;-4.378257321756862;1;1;1
20810;48.405133559199;-4.43588242784927;1;1;1
20801;48.40500109980383;-4.435402193837378;1;1;0
20820;47.809725068062356;-4.351115040249714;1;1;1
20810;47.809738212556724;-4.351049768892825;1;1;1
20815;48.356391553906334;-4.427225713842945;0;1;1
20810;48.35623370545407;-4.427149133878914;1;1;1
20801;47.81320390401494;-4.345384025133127;0;1;1
20820;48.53094292903353;-4.444684611714953;1;1;1
20801;48.531059353701835;-4.444701187728834;1;1;0
20801;48.498543928810356;-4.438293625028768;0;1;0
20801;48.39902721734239;-4.421893916173102;1;1;0
20801;48.42235817611217;-4.424791004068955;0;1;0
20820;48.40702464511354;-4.416850922191088;1;1;1
